Team	Score	anstoss	prec	dist	time	images
MathisTest	18339	2	[254, 103, 103]	[5396, 5604, 6854]	2025-05-28_15:32:08	['no images']
Team 1	12851	16	[83, 83, 83]	[5723, 2689, 6989]	2025-05-28_14:59:16	['no images']
Team 1	-17615	16	[399, 399, 399]	[245, 245, 245]	2025-05-28_14:57:02	['no images']
Team 1	-28549	16	[634, 634, 634]	[517, 517, 517]	2025-05-28_14:55:32	['no images']
Team 1	-28682	16	[603, 603, 603]	[-44, -44, -44]	2025-05-28_14:54:54	['no images']
Team 1	-39207	16	[851, 851, 851]	[581, 581, 581]	2025-05-28_14:54:02	['no images']
Team 1	-48393	16	[1004, 1004, 1004]	[69, 69, 69]	2025-05-28_14:53:36	['no images']
