Name	Team	Score
Moritz	ISEM	21878
Mathis	ISEM	21228
Bodo	M11	19256
Kriegesmann	antiISEM	15280
Kern	Mechonics	12081
Mathis	ISEM	4000
Moritz	ISEM	3000
Felix	ISEM	2000
